property_id,area_m2,bedrooms,bathrooms,floor,total_floors,build_year,neighborhood,property_type,condition,renovated,has_elevator,has_parking,has_balcony,energy_rating,school_rating,crime_rate,distance_to_center_km,monthly_income_area,listing_month,days_on_market,price_usd
HP100431,40.5,0,1.0,21,24,2008,Airport,house,good,yes,yes,no,yes,B,5.1,5.9,13.5,1891.0,Mar,56,364020
HP101590,120.1,2,1.8,14,16,1998,Suburb,apartment,good,no,yes,no,yes,C,7.4,3.2,9.4,3681.0,Dec,64,582381
HP100217,74.3,2,3.1,8,11,2020,Suburb,apartment,fair,no,no,no,no,C,6.8,3.0,12.4,3219.0,Apr,52,395744
HP100002,86.0,1,1.0,10,22,1982,Green Hills,apartment,fair,no,yes,no,no,B,9.5,0.5,8.3,4095.0,Jan,74,546630
HP101794,58.9,1,1.7,15,26,1969,Green Hills,apartment,good,yes,yes,yes,yes,E,8.6,0.9,6.0,3793.0,May,67,486921
HP101650,41.8,2,2.2,9,11,2009,Suburb,house,good,no,yes,no,yes,C,7.9,1.6,11.4,2492.0,May,58,441606
HP100389,216.9,5,3.4,8,18,1998,Green Hills,studio,good,no,yes,yes,yes,B,10.0,0.5,5.4,4341.0,Jan,39,957290
HP100259,60.0,1,1.0,14,21,1978,Industrial,apartment,good,no,no,no,yes,B,4.5,5.1,13.2,2408.0,Jul,72,217570
HP100836,88.6,1,1.2,1,11,2015,Airport,house,excellent,yes,yes,no,yes,D,5.3,2.6,11.9,1658.0,May,43,397136
HP100614,126.0,3,2.4,24,31,1998,Suburb,house,good,yes,yes,yes,no,C,6.1,3.1,10.1,2660.0,Dec,61,701358
HP100391,57.5,2,1.4,4,13,2006,Suburb,house,new,no,yes,yes,no,C,7.1,0.6,9.8,2900.0,Mar,38,537088
HP100776,61.6,1,1.0,14,23,2021,Industrial,house,fair,no,yes,no,yes,E,4.1,4.8,14.1,2126.0,Aug,61,213710
HP101566,88.9,3,3.4,10,19,1970,Downtown,house,fair,no,yes,no,yes,D,7.8,2.7,0.2,3733.0,Feb,13,660181
HP101243,69.6,2,2.0,21,24,1981,Downtown,apartment,excellent,no,no,no,yes,C,7.9,2.4,0.8,3307.0,Jan,11,547328
HP101402,95.3,1,1.3,22,26,1974,Market,studio,excellent,no,yes,yes,no,C,5.2,4.7,5.4,2089.0,Oct,58,391249
HP101532,85.5,0,1.0,17,30,2001,University,apartment,fair,yes,yes,yes,yes,D,7.1,3.7,4.1,2264.0,Nov,94,404245
HP101286,85.2,3,2.3,22,33,1978,Business Bay,apartment,fair,no,yes,yes,yes,C,8.6,2.9,1.6,4657.0,Oct,43,661321
HP101266,62.0,2,2.8,13,22,1983,Suburb,apartment,excellent,no,yes,yes,yes,C,8.1,2.2,12.9,2806.0,May,20,519371
HP100930,100.6,2,1.0,3,7,2011,Old Town,apartment,good,no,yes,yes,yes,B,5.1,2.8,6.4,2916.0,Feb,68,420005
HP101404,75.3,3,2.2,18,19,1987,Suburb,studio,good,no,yes,no,yes,B,8.3,1.0,10.6,2841.0,May,78,476100
HP100821,71.6,0,1.0,6,19,1994,Industrial,studio,fair,no,yes,no,yes,C,,4.2,14.4,1779.0,Sep,85,190296
HP101479,129.0,5,3.7,1,4,2007,Business Bay,apartment,new,no,no,yes,yes,B,7.4,0.9,0.9,4960.0,Feb,18,961750
HP100412,49.6,2,2.3,1,11,1979,Downtown,townhouse,excellent,no,yes,yes,no,C,7.7,1.4,1.1,3234.0,Nov,50,637867
HP100938,107.1,3,2.4,6,10,2020,Green Hills,house,fair,no,yes,no,yes,,8.7,1.5,5.8,3368.0,Feb,62,755489
HP100304,123.3,5,4.0,25,33,2006,Green Hills,house,fair,no,yes,no,yes,D,8.5,0.7,6.8,3197.0,Aug,23,747652
HP100944,99.0,2,1.7,14,22,1987,Business Bay,apartment,good,no,yes,no,yes,D,8.6,1.5,3.2,4228.0,Aug,62,656002
HP101535,90.6,4,4.1,14,16,1983,University,apartment,good,no,yes,yes,yes,A,7.3,2.3,5.1,2332.0,Feb,43,667373
HP101571,64.8,1,1.0,23,27,1970,University,apartment,good,yes,yes,no,yes,A,8.4,3.1,5.6,2144.0,Aug,78,462634
HP100032,64.1,2,2.5,2,7,1997,Old Town,apartment,good,yes,yes,yes,yes,D,6.4,4.9,3.2,2480.0,Apr,56,475804
HP100207,121.1,4,3.7,2,15,1988,Riverside,apartment,good,no,yes,no,no,E,8.3,1.0,6.9,3019.0,Jul,87,615119
HP100791,189.6,6,3.7,1,7,1996,Business Bay,studio,good,no,yes,no,no,B,9.1,1.5,3.0,3932.0,Feb,35,947092
HP100504,92.2,2,2.3,4,16,2016,University,apartment,good,no,yes,no,yes,D,7.5,2.1,5.1,2605.0,Oct,49,563034
HP101781,84.3,2,2.7,20,29,1979,Airport,townhouse,good,no,no,yes,yes,D,5.5,5.0,11.7,2108.0,Jun,64,392353
